MD (m RKB);Inc (deg);Azim (deg);TVD (m RKB);E/W (m);N/S (m);DLS (deg/30m)
2540;34.06;67.96;2416;-364.428;32.924;3.67
2550;35.36;68.34;2424.2;-359.142;35.043;3.95
2560;36.24;68.58;2432.3;-353.701;37.19;2.67
2570;36.93;68.78;2440.3;-348.149;39.357;2.1
2571;37;68.83;2441.1;-347.583;39.574;2.31
2580;37.65;69.24;2448.3;-342.493;41.527;2.32
2590;37.87;66.01;2456.2;-336.832;43.858;5.97
2600;37.35;64.16;2464.1;-331.297;46.428;3.73
2610;36.64;62.42;2472.1;-325.922;49.132;3.8
2620;36.09;60.49;2480.1;-320.714;51.964;3.81
2630;35.64;58.41;2488.2;-315.669;54.941;3.9
2640;35.21;56.92;2496.4;-310.771;58.041;2.89
2650;35.61;56.12;2504.5;-305.939;61.237;1.84
2660;36.53;55.7;2512.6;-301.063;64.538;2.86
2670;37.66;55.31;2520.6;-296.092;67.954;3.46
2680;38.88;54.83;2528.4;-291.015;71.5;3.77
2690;39.94;54.27;2536.2;-285.843;75.182;3.35
2700;41.34;53.9;2543.8;-280.569;79.003;4.26
2710;42.46;53.52;2551.2;-275.186;82.956;3.45
2720;43.55;53.28;2558.5;-269.711;87.023;3.31
2730;44.36;52.96;2565.7;-264.159;91.188;2.52
2740;45.45;52.84;2572.8;-258.528;95.446;3.28
2750;46.51;52.65;2579.8;-252.805;99.8;3.21
2760;47.27;52.31;2586.6;-247.015;104.246;2.4
2770;48.09;51.97;2593.3;-241.177;108.784;2.57
2780;49.38;51.74;2599.9;-235.266;113.427;3.9
2790;50.52;51.27;2606.3;-229.275;118.191;3.59
2800;51.28;51.01;2612.7;-223.232;123.06;2.36
2810;52.21;50.85;2618.8;-217.136;128.01;2.82
2820;52.67;50.8;2624.9;-210.991;133.017;1.39
2830;53.08;50.36;2631;-204.831;138.08;1.62
2840;53.5;50.18;2637;-198.666;143.204;1.33
2850;53.62;49.84;2642.9;-192.502;148.374;0.9
2860;54.26;49.55;2648.8;-186.338;153.604;2.04
2870;55.16;48.96;2654.6;-180.154;158.931;3.06
2880;56.3;48.39;2660.2;-173.948;164.388;3.7
2890;57.85;47.94;2665.6;-167.695;169.987;4.79
2900;59.48;47.58;2670.8;-161.371;175.729;4.98
2910;60.79;47.21;2675.8;-154.989;181.599;4.05
2920;61.84;46.99;2680.6;-148.563;187.571;3.2
2930;62.96;46.59;2685.2;-142.104;193.638;3.52
2940;64.55;46.35;2689.7;-135.601;199.816;4.81
2950;66.06;45.95;2693.8;-129.05;206.11;4.66
2960;66.83;45.86;2697.8;-122.466;212.488;2.32
2970;68.07;45.8;2701.7;-115.842;218.923;3.72
2980;69.69;45.3;2705.3;-109.183;225.456;5.06
2990;70.89;44.74;2708.6;-102.524;232.11;3.93
3000;71.87;44.31;2711.8;-95.88;238.866;3.18
3010;72.93;43.75;2714.9;-89.255;245.72;3.56
3020;74.47;43.11;2717.7;-82.657;252.69;4.97
3030;75.12;42.6;2720.3;-76.094;259.764;2.45
3040;75.04;42.3;2722.9;-69.572;266.894;0.9
3050;75.15;41.6;2725.4;-63.112;274.081;2.06
3060;75.2;41.08;2728;-56.726;281.339;1.52
3070;75.12;40.53;2730.6;-50.41;288.656;1.61
3080;74.75;40.21;2733.2;-44.155;296.013;1.45
3090;74.93;40.06;2735.8;-37.933;303.392;0.69
3100;74.99;40.38;2738.4;-31.697;310.766;0.94
3110;75.01;40.46;2741;-25.434;318.12;0.24
3120;75.07;40.51;2743.5;-19.162;325.468;0.23
3130;75.14;40.67;2746.1;-12.874;332.806;0.51
3140;75.37;40.74;2748.6;-6.567;340.137;0.72
3144;75.22;40.75;2749.7;-4.042;343.069;1.13
3168.1;75.05;41.07;2755.8;11.212;360.672;0.44
3208.4;72.06;41.84;2767.3;36.796;389.639;2.29
3248.8;67.68;41.55;2781.2;62.022;417.954;3.26
3288.7;63.3;40.68;2797.7;85.892;445.296;3.35
3329.4;57.55;40.55;2817.8;108.926;472.154;4.24
3369.9;53.32;40.54;2840.8;130.601;497.491;3.13
3410.2;49.77;38.28;2865.8;150.643;521.858;2.95
3450.3;48.06;37.47;2892.2;169.2;545.713;1.36
3490.7;44.78;38.77;2920;187.256;568.739;2.53
3531.1;40.65;38.36;2949.7;204.34;590.16;3.07
3571.7;39.98;38.78;2980.7;220.717;610.698;0.53
3611.1;40;39.49;3010.8;236.698;630.338;0.35
3652.3;40.03;39.03;3042.4;253.462;650.849;0.22
3692.3;39.89;38.19;3073.1;269.493;670.923;0.42
3732.8;39.93;38.19;3104.1;285.558;691.346;0.03
3749.1;39.98;38.48;3116.6;292.051;699.557;0.36
3762;39.98;38.48;3126.5;297.209;706.046;0
