MD (m RKB);Inc (deg);Azim (deg);TVD (m RKB);E/W (m);N/S (m);DLS (deg/30m)
3177;31.4;160.94;2431.9;-1274.538;46.214;0.48
3198;31.16;159.89;2449.9;-1270.864;35.959;0.85
3203;31.1;159.64;2454.2;-1269.989;33.517;0.85
3235;31.8;159.54;2481.5;-1264.166;17.869;0.66
3264;31.9;156.74;2506.1;-1258.468;3.671;1.53
3292;31.9;155.54;2529.9;-1252.482;-9.86;0.68
3321;30.1;153.34;2554.7;-1246.044;-23.335;2.2
3333;29.8;152.14;2565.1;-1243.3;-28.66;1.67
3352;29.3;151.94;2581.7;-1238.907;-36.936;0.8
3381;29.3;149.54;2607;-1231.97;-49.315;1.21
3410;31.1;148.34;2632;-1224.44;-61.807;1.96
3439;32.8;148.74;2656.6;-1216.432;-74.897;1.77
3466;34.2;149.14;2679.1;-1208.743;-87.663;1.57
3496;35.8;149.64;2703.7;-1199.982;-102.472;1.63
3528;36.5;149.94;2729.6;-1190.483;-118.784;0.68
3553;35.7;148.44;2749.8;-1182.94;-131.435;1.43
3582;34.7;146.94;2773.4;-1174.007;-145.563;1.37
3610;32.6;148.14;2796.8;-1165.676;-158.65;2.36
3636;31.9;159.04;2818.8;-1159.515;-171.024;6.75
3668;31.5;159.94;2846;-1153.622;-186.772;0.58
3698;29.7;159.14;2871.8;-1148.286;-201.08;1.85
3726;28;158.04;2896.3;-1143.356;-213.658;1.91
3755;27.6;158.44;2922;-1138.341;-226.219;0.46
3783;27.2;158.54;2946.8;-1133.616;-238.207;0.43
3814;27;158.24;2974.4;-1128.414;-251.335;0.23
3843;26.8;157.94;3000.3;-1123.517;-263.508;0.25
3872;26.4;157.24;3026.2;-1118.567;-275.512;0.53
3900;26;157.24;3051.4;-1113.783;-286.911;0.43
3929;26;156.74;3077.4;-1108.813;-298.612;0.23
3957;25.7;156.24;3102.6;-1103.943;-309.807;0.4
3987;25.5;156.24;3129.7;-1098.719;-321.67;0.2
4015;25;156.54;3155;-1093.935;-332.614;0.55
4044;25.2;156.04;3181.3;-1088.987;-343.877;0.3
4073;26.4;155.24;3207.4;-1083.779;-355.373;1.29
4102;28.1;154.34;3233.2;-1078.12;-367.384;1.81
4140;30;154.14;3266.4;-1070.099;-384.001;1.5
4170;30.9;154.04;3292.2;-1063.454;-397.675;0.9
4197;31.2;152.94;3315.4;-1057.237;-410.136;0.71
4226;31.5;152.84;3340.1;-1050.361;-423.566;0.31
4250;31.5;152.84;3360.6;-1044.636;-434.723;0
